"filename", "language", "JavaScript", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 33, 71
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\package-lock.json", "JSON", 0, 0, 0, 16428, 0, 0, 1, 16429
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\package.json", "JSON", 0, 0, 0, 42, 0, 0, 1, 43
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\public\index.html", "HTML", 0, 0, 0, 0, 24, 23, 1, 48
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 1, 26
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\App.css", "CSS", 0, 34, 0, 0, 0, 0, 6, 40
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\App.js", "JavaScript", 49, 0, 0, 0, 0, 0, 6, 55
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\Button.css", "CSS", 0, 10, 0, 0, 0, 0, 1, 11
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\Button.js", "JavaScript", 27, 0, 0, 0, 0, 0, 5, 32
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\DynamicForm.css", "CSS", 0, 10, 0, 0, 0, 0, 1, 11
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\DynamicForm.js", "JavaScript", 235, 0, 0, 0, 0, 2, 26, 263
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\EquationData.js", "JavaScript", 8, 0, 0, 0, 0, 0, 2, 10
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\GlobalContext.js", "JavaScript", 59, 0, 0, 0, 0, 3, 9, 71
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\components\QuestionList.js", "JavaScript", 103, 0, 0, 0, 0, 0, 8, 111
"d:\D\TUGAS ON GOING\SKRIPSI\persamaan-kuadrat-master\client\src\index.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"Total", "-", 490, 54, 38, 16495, 24, 28, 103, 17232